type,hash,malice,generic,trojan,ransomware,worm,backdoor,spyware,rootkit,encrypter,downloader
0,2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815,0,0,0,0,0,0,0,0,0,0
0,df23113f3c534e5becbd452bf2ad92cbcf2a92641f775f4f579c91ad7c0ac7f4,0,0,0,0,0,0,0,0,0,0
0,b6e97dbf4ec13dec0324ab2d66b8c771d4da6539087d84bf009b9a80b0f78799,0,0,0,0,0,0,0,0,0,0
0,33aaf68843e2936dfd3665e5cdb76a3d5372fff42fe66f4f2b35886066a0380e,0,0,0,0,0,0,0,0,0,0
0,b2ded3ce4b19a18844d4aa90b60dfc1a8d3e9cd7649e7478c524d5c9d035fccc,0,0,0,0,0,0,0,0,0,0
0,af647fcba328c6a41c6512dc34248b7c0413d5db337be2cba1fc3761855ddce6,0,0,0,0,0,0,0,0,0,0
0,fbba0c95a318e9c7f37915f2fc273321a668e668696e821cab1b013ad8fe496b,0,0,0,0,0,0,0,0,0,0
0,4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9,0,0,0,0,0,0,0,0,0,0
0,9f488edf5ed634d8f50d0a08fdf2eb24e22106c0f22954f3b30f5aa0a366c505,0,0,0,0,0,0,0,0,0,0
0,69b5a97bd24aee318b2afc50506bfeced8ceee010cdf8268522ea9b5e912ce84,0,0,0,0,0,0,0,0,0,0
0,d3062f93740551d2f3aa0a386587f7cc5ab4c524477845ca4d2544764d0bf119,0,0,0,0,0,0,0,0,0,0
0,ca6710ac624c4badd89606d2d46270b68a494b9778a109477955f6403d77493e,0,0,0,0,0,0,0,0,0,0
0,1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51,0,0,0,0,0,0,0,0,0,0
0,c3afcf2e6f64303f8377793255b38f6d677ca8eab9eddae65693c1235d05a1ae,0,0,0,0,0,0,0,0,0,0
0,9765f6a4ef2630731553c298e3bf079a7fd28d04413d0ed7dbaa697e81592252,0,0,0,0,0,0,0,0,0,0
0,70bffc9c81bde425bbd3b2eaf54fb82764d15808f92e9338d2b954a5b912b43b,0,0,0,0,0,0,0,0,0,0
0,d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a,0,0,0,0,0,0,0,0,0,0
0,5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37,0,0,0,0,0,0,0,0,0,0
0,667fba10a1775750b3b63be899f4b097841c71ce531f52366bd47b6b4c474a0f,0,0,0,0,0,0,0,0,0,0
0,7637ebd20f2b197995d6876d3cd4b01479614f5c0859bf8466b1ec956c6b1993,0,0,0,0,0,0,0,0,0,0
0,193cd70a73e750a178eb91b05b8a15f988b1499cb77c37c9a9f2e2e22d98ce59,0,0,0,0,0,0,0,0,0,0
0,c60ebcad6dcbc20fd27872ee4ae92b83950420867ab7a4769bac9d1a4f25e067,0,0,0,0,0,0,0,0,0,0
0,60fd82f9261ab7faf0d168d623c0e16f8b587ea7ec5aa441c3a5944f439cbacb,0,0,0,0,0,0,0,0,0,0
0,3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0,0,0,0,0,0,0,0,0,0,0
0,832bdee44d637d7334b3300db73550de552988d6c15af917572eba6b0077770c,0,0,0,0,0,0,0,0,0,0
0,4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb,0,0,0,0,0,0,0,0,0,0
0,857e2db65d56ec90bf7ffd3c51df4e9c577ca6576e399065f3220a5195e1f9bb,0,0,0,0,0,0,0,0,0,0
0,fb79aa9861b147460e71653b2c01129cc0911efc6c1f97c6377d96f47d651da2,0,0,0,0,0,0,0,0,0,0
0,ba8f214c82e335b1b003114bf92450b47e1e07d8e23a165564405a2338c755e1,0,0,0,0,0,0,0,0,0,0
0,ecf9e6567852f1a45dd6068ed197aa22cfac0121fdc0c3a2e9367dd6cc85fcae,0,0,0,0,0,0,0,0,0,0
0,9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76,0,0,0,0,0,0,0,0,0,0
0,463046a6d4263478667cb43d534df3cf65b4e3b26a71ccfa7c3d64d29e2c6d8a,0,0,0,0,0,0,0,0,0,0
0,a5d76d29280af398aeb406063676620060a5d0cb28b2d33d917f41a5c06e4d84,0,0,0,0,0,0,0,0,0,0
0,fbfdedb850f535b635f17053f33bad5e5f72785a576ba5a8b1c6adff4488b430,0,0,0,0,0,0,0,0,0,0
0,cb1454687b08797f9cd506fde40157d5688c4494772f0836054bf75f5a2bb468,0,0,0,0,0,0,0,0,0,0
0,c42ab04f9d19b18d2d145a32a98e02e8070d25275aad11b3c9917c3cdd370c10,0,0,0,0,0,0,0,0,0,0
0,4ea6fb35bfa0deace0e149557d73a99ee858029e33bbbcaf5cdf5aefb21ffb80,0,0,0,0,0,0,0,0,0,0
0,79d27b57b5e2128fb96b229198fff3be95816d4495d26d512ec27cfd7406d0b5,0,0,0,0,0,0,0,0,0,0
0,d4d518c5415ace543cb348a93ab6df569ee298d18fe47ad3eb75018f5cb5f5db,0,0,0,0,0,0,0,0,0,0
0,b25976b4e32dcc3884ac0c8aa1e8416d483ef8598d232ac788e917f8967ff131,0,0,0,0,0,0,0,0,0,0
0,692acd7aa54a1c159f7e09625bba47dfc6ce2ff6aeab9140550dc5a3b744a49d,0,0,0,0,0,0,0,0,0,0
0,51bd880654939f595158f3da086ce3b4e10bca532fda5b3c03033ac55e672ae7,0,0,0,0,0,0,0,0,0,0
0,341e757fe21e236ff2162c678f940558196ae1988a5f5efc4a4b25e425fa0ea0,0,0,0,0,0,0,0,0,0,0
0,76098cc2969c4a090fba5c863bb3bb52b5ce88bee46da9d46aab0252affa0744,0,0,0,0,0,0,0,0,0,0
0,1566460d4c89f8a26fcde4b0fd4f70d7ccbf873dbeaf5f52e44f96a45c0e3807,0,0,0,0,0,0,0,0,0,0
0,e82b3e2d357ecdebc189379f79f2b354d34c7af1a1d56de51ad5a539059dcf61,0,0,0,0,0,0,0,0,0,0
0,62f1ad51806af5c9031851373f8c404e371514d3b0c8e236d6ea0cb488c4a56b,0,0,0,0,0,0,0,0,0,0
0,10feeb1b0fde32e0d3699bb8bb8558fafb03da45b7d204dd5b7200439a39cf2f,0,0,0,0,0,0,0,0,0,0
0,ee817287293478ecdd152a44b99c04c3aa18dc7399c1f4dd6ddcedca39639af2,0,0,0,0,0,0,0,0,0,0
0,3d1ac5f16b486805bfea6e9152cc60251b7e8f4a8580187afef978347e523f46,0,0,0,0,0,0,0,0,0,0
0,67fadfeccc66c338d0575516ac5acec9788e5be437e6924478292f92dcd4a8da,0,0,0,0,0,0,0,0,0,0
0,0ff0a7429ebd5f19eac9fef4504d12c2b2b66a2b060de1c25d6e8fd08262f6d9,0,0,0,0,0,0,0,0,0,0
0,8e9dd45d81352c2fe6f6b6ab124ae81d2b6485dba434bd59cfe8ce44f7628b24,0,0,0,0,0,0,0,0,0,0
0,ddb348b0443d540a6e72477b111b50b094adcd490872c4786acbdcd093e07f8d,0,0,0,0,0,0,0,0,0,0
0,3d8b868359f623a9441e336d32c360352bf819114052599d3c85ab69e60d1de9,0,0,0,0,0,0,0,0,0,0
0,86c8b86a80e911bb63d7a78b828bf45a02afb5c9ab271906720feeec7c24fe7d,0,0,0,0,0,0,0,0,0,0
0,48331be81db4474aa078c976b4635737b87f10974b11832fbdcc387bb6869fc8,0,0,0,0,0,0,0,0,0,0
0,bdd41d65a67e87653abaa454166fc37b38ca219ec76f73dd27012ec7f4add8df,0,0,0,0,0,0,0,0,0,0
0,54b700b40965e1ca937bba16365fc3a52a6de8eff1bd8c11a65bd42aa3ace1cc,0,0,0,0,0,0,0,0,0,0
